Name	Type	Address	Phone
Clairton - PA (USA)	CONG	1549 Bell Ave Braddock PA  15104-2635	412-271-7550
West Mifflin - PA (USA)	CONG	1549 Bell Ave Braddock PA  15104-2635	412-271-7550
East End - Pittsburgh PA (USA)	CONG	8890 Frankstown Rd Pittsburgh PA  15235-1362	412-480-4830
Sandy Creek - Pittsburgh PA (USA)	CONG	8890 Frankstown Rd Pittsburgh PA  15235-1362	(412)243-3745
Eastvue - Pittsburgh PA (USA)	CONG	8890 Frankstown Rd Pittsburgh PA  15235-1362	412-407-2880
McKeesport - PA (USA)	CONG	14051 PA-993 Trafford PA  15085-9550	412-372-8514
Trafford - PA (USA)	CONG	14051 PA-993 Trafford PA  15085-9550	412-372-8514
Plum Borough - Pittsburgh PA (USA)	CONG	14051 PA-993 Trafford PA  15085-9550	412-372-8514
Allison Park - PA (USA)	CONG	2513 Wildwood Rd Allison Park PA  15101-2223	412-492-0363
Greensburg - PA (USA)	CONG	1113 Middletown Rd Greensburg PA  15601-3128	724-836-3143
Zelienople - PA (USA)	CONG	250 Evans Rd Zelienople PA  16063-3010	(724) 241-8430
New Castle - PA (USA)	CONG	2020 Willow Way Dr New Castle PA  16101-5408	724-312-5272
Sharon - PA (USA)	CONG	2885 Hann Hill Rd Hermitage PA  16148-5994	724 981 5588
Lower Burrell - PA (USA)	CONG	890 Stevenson Blvd New Kensington PA  15068-6412	(724)212-3359
New Kensington - PA (USA)	CONG	890 Stevenson Blvd New Kensington PA  15068-6412	724-212-3359
Latrobe - PA (USA)	CONG	549 Charles Houck Rd Latrobe PA  15650-3965	724-686-8550
Natrona Heights - PA (USA)	CONG	1509 Melrose Ave Natrona Heights PA  15065-1615	724-224-8770
Somerset - PA (USA)	CONG	1102 S Franklin Ave Somerset PA  15501-2732	1-814-445-5424
Butler - PA (USA)	CONG	157 Unionville Rd Butler PA  16001-9653	724-283-1729
Avonmore - PA (USA)	CONG	2556 PA-380 Avonmore PA  15618-1148	724-478-1016
Blairsville - PA (USA)	CONG	324 Newport Rd Blairsville PA  15717-8519	724-471-7322
New Florence - PA (USA)	CONG	6226 PA-711 New Florence PA  15944-2300	724-401-2250
Kittanning - PA (USA)	CONG	528 Troy Hill Rd Kittanning PA  16201-9440	(724) 541-2591
Benscreek - Johnstown PA (USA)	CONG	103 Hillview St Johnstown PA  15905-3428	814-254-4812
East Hills - Johnstown PA (USA)	CONG	35 Joseph St Windber PA  15963-6633	814-467-7327
Windber - PA (USA)	CONG	35 Joseph St Windber PA  15963-6633	814-467-7327
Meadville - PA (USA)	CONG	15315 Harmonsburg Rd Meadville PA  16335-8775	(814) 464-2699
Indiana - PA (USA)	CONG	450 E Pike Rd Indiana PA  15701-2231	724-463-7807
Franklin - PA (USA)	CONG	1410 Pittsburgh Rd Franklin PA  16323-2027	814-346-1634
Bedford - PA (USA)	CONG	7408 Main Rd Bedford PA  15522-5029	814 310 0131
Girard - PA (USA)	CONG	7200 Meadville Rd Girard PA  16417-7316	814-774-4580
Oil City - PA (USA)	CONG	144 S Main St Seneca PA  16346-2814	814-677-6161
Pennsylvania German - Oil City - PA (USA)	GROUP	144 S Main St Seneca PA  16346-2814	814-677-6161
Cambridge Springs - PA (USA)	CONG	414 McClellan St Cambridge Springs PA  16403-1002	814-398-2683
Shippenville - PA (USA)	CONG	11077 US-322 Shippenville PA  16254-4839	814-226-7081
Asbury Woods - Erie PA (USA)	CONG	3604 Asbury Rd Erie PA  16506-1514	814-833-3677
Asbury Heights - Erie PA (USA)	CONG	3604 Asbury Rd Erie PA  16506-1514	814-833-3677
Saint Benedict - PA (USA)	CONG	141 Post Office Rd St Benedict PA  15773	814-948-9255
Punxsutawney - PA (USA)	CONG	832 Snyder Hill Rd Punxsutawney PA  15767-2861	(814) 938-3131
Grandview Park - Erie PA (USA)	CONG	2339 W Grandview Blvd Erie PA  16506-4509	(814) 838-3530
Bayview - Erie PA (USA)	CONG	2339 W Grandview Blvd Erie PA  16506-4509	(814) 825-6528
American Sign Language - Bayview - Erie PA (USA)	GROUP	2339 W Grandview Blvd Erie PA  16506-4509	(814) 825-6528
Union City - PA (USA)	CONG	9385 US-6 Union City PA  16438-9749	814-438-6037
Pineview - Erie PA (USA)	CONG	1659 E Grandview Blvd Erie PA  16510-3403	(814) 450-0341
Spanish - Erie PA (USA)	CONG	1659 E Grandview Blvd Erie PA  16510-3403	(814)504ー1380
Presque Isle Nepali - Erie PA (USA)	CONG	1659 E Grandview Blvd Erie PA  16510-3403	814-566-3043
Brookville - PA (USA)	CONG	610 PA-28 Brookville PA  15825	814-849-2140
South - Altoona PA (USA)	CONG	805 S 16th St Altoona PA  16602-6075	814-941-6570
North - Altoona PA (USA)	CONG	805 S 16th St Altoona PA  16602-6075	814-941-6570
Waynesboro - PA (USA)	CONG	3901 Waynecastle Rd Waynesboro PA  17268-9609	223-250-3800
North East - PA (USA)	CONG	9335 W Main St North East PA  16428-2621	(814) 347-5194
Belle Valley - Erie PA (USA)	CONG	9335 W Main St North East PA  16428-2621	(814) 314-9139
English - Chambersburg PA (USA)	CONG	5878 Greenvillage Rd Chambersburg PA  17202-7316	717-263-9165
Huntingdon - PA (USA)	CONG	12036 Standing Stone Rd Huntingdon PA  16652-4609	814-643-4891
English - Gettysburg PA (USA)	CONG	1274 Highland Ave Rd Gettysburg PA  17325-7703	717-633-9380
Spanish - Gettysburg PA (USA)	CONG	1274 Highland Ave Rd Gettysburg PA  17325-7703	717-870-4344
Warren - PA (USA)	CONG	201 Pleasant Dr Warren PA  16365-3349	814-726-2680
Philipsburg - PA (USA)	CONG	2052 Morrisdale Allport Hwy Philipsburg PA  16866-7906	814-559-0620
Paradise - Hanover PA (USA)	CONG	5 Paradise Ct Hanover PA  17331-9263	(717) 637-4999
Lake Marburg - Hanover PA (USA)	CONG	5 Paradise Ct Hanover PA  17331-9263	717-637-4999
Carlisle - PA (USA)	CONG	1 Mooredale Rd Carlisle PA  17015-9470	717-386-9763
Pigeon Hills - Hanover PA (USA)	CONG	1620 Youngs Rd Hanover PA  17331	717-632-5628
Clearview - Hanover PA (USA)	CONG	1620 Youngs Rd Hanover PA  17331	717-632-5628
Kane - PA (USA)	CONG	6253 PA-6 Kane PA  16735	814-975-3016
State College - PA (USA)	CONG	101 Villandry Blvd State College PA  16801-6977	814-826-3049
Spring Grove - PA (USA)	CONG	1595 Jefferson Rd Spring Grove PA  17362-7507	717-225-6281
Lewistown - PA (USA)	CONG	1125 US-522 Lewistown PA  17044-2816	717-250-6936
Walnut Street Spanish - Lewistown PA (USA)	CONG	1125 US-522 Lewistown PA  17044-2816	(814) 761-0925
Juniata River Pennsylvania German - Mifflintown PA (USA)	CONG	1125 US-522 Lewistown PA  17044-2816	717-248-3237
Elliottsburg - PA (USA)	CONG	595 Limestone Ridge Rd Elliottsburg PA  17024	717-348-8619
West York - York PA (USA)	CONG	2601 Bannister St York PA  17408-4829	717-792-4176
Mechanicsburg - PA (USA)	CONG	2 Willow Mill Park Rd Mechanicsburg PA  17050-1756	717-516-8634
Camp Hill - PA (USA)	CONG	2 Willow Mill Park Rd Mechanicsburg PA  17050-1756	717-620-9540
Springdale - York PA (USA)	CONG	50 W Cottage Pl York PA  17401-2215	223-232-5455
Spanish - York PA (USA)	CONG	50 W Cottage Pl York PA  17401-2215	223-232-5455
Brandywine - York PA (USA)	CONG	932 Church Rd York PA  17404-1323	717-764-3913
Prospect - York PA (USA)	CONG	701 Dallas St York PA  17403-2873	717-845-9233
Bradford - PA (USA)	CONG	116 Minard Run Rd Bradford PA  16701	(814)362-6725
Fawn Grove - PA (USA)	CONG	987 Brown Rd New Park PA  17352-9481	717-382-4394
Red Lion - PA (USA)	CONG	395 Boxwood Rd Red Lion PA  17356-8350	717-814-8011
Yorkana - York PA (USA)	CONG	4054 Park Ln York PA  17406-1506	17174874553
Swatara - Harrisburg PA (USA)	CONG	420 Gibson St Harrisburg PA  17113-2150	717-379-5069
Spanish - Harrisburg PA (USA)	CONG	420 Gibson St Harrisburg PA  17113-2150	717-727-5396
River View - Harrisburg PA (USA)	CONG	4331 Rodkey Rd Harrisburg PA  17110-2842	223-433-9393
Mountain Side - Harrisburg PA (USA)	CONG	4331 Rodkey Rd Harrisburg PA  17110-2842	223-433-9393
Mount Pleasant - Harrisburg PA (USA)	CONG	4331 Rodkey Rd Harrisburg PA  17110-2842	223-433-9393
Jamaican Creole - River View - Harrisburg PA (USA)	GROUP	4331 Rodkey Rd Harrisburg PA  17110-2842	223-433-9393
Lower Paxton - Harrisburg PA (USA)	CONG	5761 Union Deposit Rd Harrisburg PA  17111-4709	717-831-8706
Middletown - PA (USA)	CONG	3235 Foxianna Rd Middletown PA  17057-4512	717-991-3014
Mill Hall - PA (USA)	CONG	1 Homestead Dr Mill Hall PA  17751-9623	570-726-7550
North - Mount Joy PA (USA)	CONG	861 Milton Grove Rd Mount Joy PA  17552-9303	Phone 717-653-8501
South - Mount Joy PA (USA)	CONG	861 Milton Grove Rd Mount Joy PA  17552-9303	717-653-8501
East Spanish - Lancaster PA (USA)	CONG	861 Milton Grove Rd Mount Joy PA  17552-9303	223-244-9831
Spanish - Mount Joy PA (USA)	CONG	861 Milton Grove Rd Mount Joy PA  17552-9303	717-940-7529
Swahili - South - Mount Joy PA (USA)	GROUP	861 Milton Grove Rd Mount Joy PA  17552-9303	717-653-8501
French - South - Mount Joy PA (USA)	GROUP	861 Milton Grove Rd Mount Joy PA  17552-9303	717-653-8501
Elizabethville - PA (USA)	CONG	322 W Broad St Elizabethville PA  17023-2013	717-362-3291
Palmyra - PA (USA)	CONG	50 Plaza Dr Palmyra PA  17078-2823	(717) 838-2943
Engleside - Lancaster PA (USA)	CONG	1100 Kirkwood Pike Quarryville PA  17566	(717) 392-4601
Quarryville - PA (USA)	CONG	1100 Kirkwood Pike Quarryville PA  17566	717-786-1950
Ephrata - PA (USA)	CONG	921 Fruitville Pike Lititz PA  17543-9357	(717) 807-4114
Fruitville Pike - Lancaster PA (USA)	CONG	921 Fruitville Pike Lititz PA  17543-9357	717-626-0441
West Spanish - Lancaster PA (USA)	CONG	921 Fruitville Pike Lititz PA  17543-9357	(717) 373-9078
Russian - Fruitville Pike - Lancaster PA (USA)	GROUP	921 Fruitville Pike Lititz PA  17543-9357	717-626-0441
Colebrook - Lebanon PA (USA)	CONG	1870 Colebrook Rd Lebanon PA  17042-9534	717-273-9993
Cleona - Lebanon PA (USA)	CONG	1870 Colebrook Rd Lebanon PA  17042-9534	717-473-0553
Spanish - Lebanon PA (USA)	CONG	1870 Colebrook Rd Lebanon PA  17042-9534	717-685-5101
New Holland - PA (USA)	CONG	530 New Holland Rd New Holland PA  17557-9502	1 717 355 0227
English - Kennett Square PA (USA)	CONG	3470 Gap Newport Pike West Grove PA  19390-9278	484-753-1929
Spanish - Kennett Square PA (USA)	CONG	3470 Gap Newport Pike West Grove PA  19390-9278	484-888-8696
West - Coatesville PA (USA)	CONG	67 Octorara Rd Parkesburg PA  19365-9175	610-857-3828
Milton - PA (USA)	CONG	2995 Housels Run Rd Milton PA  17847-9016	(717) 258-0833
Northumberland - PA (USA)	CONG	714 Old Danville Hwy Northumberland PA  17857	(717) 827-7101
Womelsdorf - PA (USA)	CONG	3707 Conrad Weiser Pkwy Womelsdorf PA  19567-1642	610-589-5416
Downingtown - PA (USA)	CONG	429 Reeceville Rd Coatesville PA  19320-1425	610-466-0399
East - Coatesville PA (USA)	CONG	429 Reeceville Rd Coatesville PA  19320-1425	610-466-0399
Wildwood - Williamsport PA (USA)	CONG	773 Cemetery Rd Williamsport PA  17701-8847	570-505-5543
Shamokin - PA (USA)	CONG	113 Romanoski Ln Paxinos PA  17860-7253	(570)884-8447
South English - Reading PA (USA)	CONG	1101 W Wyomissing Blvd Reading PA  19609-2300	610-370-6004
Lincoln Park - Reading PA (USA)	CONG	1101 W Wyomissing Blvd Reading PA  19609-2300	610-334-5215-day or 484-577-0344-evening
South Haitian Creole - Reading PA (USA)	CONG	1101 W Wyomissing Blvd Reading PA  19609-2300	610-370-6004
English - West Chester PA (USA)	CONG	1200 Phoenixville Pike West Chester PA  19380-4045	610-696-1330
Spanish - West Chester PA (USA)	CONG	1200 Phoenixville Pike West Chester PA  19380-4045	610-696-1330
South Spanish - Reading PA (USA)	CONG	360 N 3rd St Reading PA  19601-3246	(610) 478-0862
Buttonwood Spanish - Reading PA (USA)	CONG	360 N 3rd St Reading PA  19601-3246	610-478-0862
Central English - Reading PA (USA)	CONG	360 N 3rd St Reading PA  19601-3246	610-478-0862
Pottsville - PA (USA)	CONG	2653 Woodglen Rd Pottsville PA  17901-1335	(570) 622-6061
East - Reading PA (USA)	CONG	4880 Oak Pkwy Reading PA  19606-3337	610-779-7440
Mount Penn - Reading PA (USA)	CONG	4880 Oak Pkwy Reading PA  19606-3337	610-779-7440
Central Sign Language - Reading PA (USA)	CONG	4880 Oak Pkwy Reading PA  19606-3337	610-779-7440
North English - Reading PA (USA)	CONG	509 Madison Ave Reading PA  19605-2411	610-929-2115
Laureldale Spanish - Reading PA (USA)	CONG	509 Madison Ave Reading PA  19605-2411	610-929-2115
Spanish - Muhlenberg PA (USA)	CONG	509 Madison Ave Reading PA  19605-2411	610-929-2115
Muncy - PA (USA)	CONG	2325 PA-405 Muncy PA  17756-6718	(570) 995-1281
English - Media PA (USA)	CONG	331 N Middletown Rd Media PA  19063-4421	610-565-5047
Spanish - Media PA (USA)	CONG	331 N Middletown Rd Media PA  19063-4421	610-565-5047
Hamburg - PA (USA)	CONG	540 Hunter Liggett Dr Shoemakersville PA  19555-9654	610-562-4630
Leesport - PA (USA)	CONG	540 Hunter Liggett Dr Shoemakersville PA  19555-9654	610-562-4630
West - Mansfield PA (USA)	CONG	39 Kingdom Ln Mansfield PA  16933-9091	570-724-3144
Chester - PA (USA)	CONG	202 W Chester Pike Ridley Park PA  19078-1507	610-521-2424
Coventry - Pottstown PA (USA)	CONG	460 E Cedarville Rd Pottstown PA  19465-7612	610-327-1870
Central - Pottstown PA (USA)	CONG	460 E Cedarville Rd Pottstown PA  19465-7612	(610) 322-4385
Phoenixville - PA (USA)	CONG	108 Ridge Rd Phoenixville PA  19460-1531	484-888-6196
Royersford - PA (USA)	CONG	108 Ridge Rd Phoenixville PA  19460-1531	610-935-0720
Pattersonville - PA (USA)	CONG	349 Ringtown Blvd Ringtown PA  17967-9621	570 900-2948
Wayne - PA (USA)	CONG	163 Conestoga Rd Wayne PA  19087-3919	(610) 293-0361
Kingsessing - Philadelphia PA (USA)	CONG	3001 S 84th St Philadelphia PA  19153-2612	215-937-1474
Eastwick - Philadelphia PA (USA)	CONG	3001 S 84th St Philadelphia PA  19153-2612	302-514-7480
Yeadon - PA (USA)	CONG	3001 S 84th St Philadelphia PA  19153-2612	215-937-1474
Lansdowne - PA (USA)	CONG	3205 Marshall Rd Drexel Hill PA  19026-2918	267-428-1762
Upper Darby - PA (USA)	CONG	3205 Marshall Rd Drexel Hill PA  19026-2918	484.580.9272
Ridley Park - PA (USA)	CONG	1501 Lawrence Rd Havertown PA  19083-1203	484-478-0308
Ardmore - PA (USA)	CONG	1501 Lawrence Rd Havertown PA  19083-1203	610-853-1339
Mifflinville - PA (USA)	CONG	1014 West St Mifflinville PA  18631	570-336-0246
Bloomsburg - PA (USA)	CONG	1014 West St Mifflinville PA  18631	570-441-3578
Boyertown - PA (USA)	CONG	1010 N Reading Ave Boyertown PA  19512	610-367-2771
Cobbs Creek Park - Philadelphia PA (USA)	CONG	5619-45 Walnut St Philadelphia PA  19139	215-471-8622 215-471-9894
University - Philadelphia PA (USA)	CONG	5619-45 Walnut St Philadelphia PA  19139	215-471-9898
West English - Philadelphia PA (USA)	CONG	5619-45 Walnut St Philadelphia PA  19139	215-471-4850
Larchwood - Philadelphia PA (USA)	CONG	5619-45 Walnut St Philadelphia PA  19139	215-471-4850
Springfield - Philadelphia PA (USA)	CONG	5619-45 Walnut St Philadelphia PA  19139	(267) 736-1799
Angora Park - Philadelphia PA (USA)	CONG	5619-45 Walnut St Philadelphia PA  19139	215-471-4850
West French - Philadelphia PA (USA)	CONG	5619-45 Walnut St Philadelphia PA  19139	215-471-4850
West Haitian Creole - Philadelphia PA (USA)	CONG	5619-45 Walnut St Philadelphia PA  19139	267-665-0997
Walnut Hill Jamaican Creole - Philadelphia PA (USA)	CONG	5619-45 Walnut St Philadelphia PA  19139	215-471-4850
Kutztown - PA (USA)	CONG	671 Noble St Kutztown PA  19530-9731	484-648-0451
Fairmount Park - Philadelphia PA (USA)	CONG	601-607 N 43rd St Philadelphia PA  19104	267-716-4190
Haverford - Philadelphia PA (USA)	CONG	601-607 N 43rd St Philadelphia PA  19104	2152220619
Northwest - Philadelphia PA (USA)	CONG	601-607 N 43rd St Philadelphia PA  19104	215-222-0619
Overbrook - Philadelphia PA (USA)	CONG	601-607 N 43rd St Philadelphia PA  19104	1-215-222-0619
Wynnefield Heights - Philadelphia PA (USA)	CONG	601-607 N 43rd St Philadelphia PA  19104	267-716-4190
Haverford Twi - Philadelphia PA (USA)	CONG	601-607 N 43rd St Philadelphia PA  19104	215-222-0619
Schuylkill - Philadelphia PA (USA)	CONG	2037 Ellsworth St Philadelphia PA  19146	215-732-7010
South - Philadelphia PA (USA)	CONG	2037 Ellsworth St Philadelphia PA  19146	267-422-2995
Uptown Spanish - Philadelphia PA (USA)	CONG	2037 Ellsworth St Philadelphia PA  19146	267-388-1180
Ellsworth - Philadelphia PA (USA)	CONG	2033 Ellsworth St Philadelphia PA  19146	215-732-6919
Penrose - Philadelphia PA (USA)	CONG	2033 Ellsworth St Philadelphia PA  19146	484-450-6310
Indonesian - Penrose - Philadelphia PA (USA)	GROUP	2033 Ellsworth St Philadelphia PA  19146	484-450-6310
Delaware Valley Swahili - Philadelphia PA (USA)	CONG	2033 Ellsworth St Philadelphia PA  19146	267-691-1606
West - Norristown PA (USA)	CONG	807 Haws Ave Norristown PA  19401-3767	610-279-2403, Memorial Phone Number 856-438-0125
Spanish - Norristown PA (USA)	CONG	807 Haws Ave Norristown PA  19401-3767	610-279-2403
Brewerytown - Philadelphia PA (USA)	CONG	2901 W Glenwood Ave Philadelphia PA  19121-2751	215-469-1918
East Falls - Philadelphia PA (USA)	CONG	2901 W Glenwood Ave Philadelphia PA  19121-2751	2157651672
East Park - Philadelphia PA (USA)	CONG	2901 W Glenwood Ave Philadelphia PA  19121-2751	267-348-4206
Ridge - Philadelphia PA (USA)	CONG	2901 W Glenwood Ave Philadelphia PA  19121-2751	267-225-8736
Northern Liberties - Philadelphia PA (USA)	CONG	2901 W Glenwood Ave Philadelphia PA  19121-2751	(267) 405-3131
Cambodian - Ridge - Philadelphia PA (USA)	GROUP	2901 W Glenwood Ave Philadelphia PA  19121-2751	267-225-8736
English - Fairview Village PA (USA)	CONG	1120 Woodland Ave Norristown PA  19403-3864	908-335-9256
Worcester - PA (USA)	CONG	1120 Woodland Ave Norristown PA  19403-3864	610-584-0777
Spanish - Fairview Village PA (USA)	CONG	1120 Woodland Ave Norristown PA  19403-3864	+1 (989) 999-9890
East - Green Lane PA (USA)	CONG	26 Hendricks Rd Perkiomenville PA  18074	484-552-3016
West - Green Lane PA (USA)	CONG	26 Hendricks Rd Perkiomenville PA  18074	267-963-2793
Conshohocken - PA (USA)	CONG	4050 Butler Pike Plymouth Meeting PA  19462-1544	610-834-7948
North Mount Pleasant - Philadelphia PA (USA)	CONG	4050 Butler Pike Plymouth Meeting PA  19462-1544	610-834-7948
Fairmount Park Tagalog - Philadelphia PA (USA)	CONG	4050 Butler Pike Plymouth Meeting PA  19462-1544	610-834-7948
Nicetown - Philadelphia PA (USA)	CONG	2801 N 19th St Philadelphia PA  19132-2120	215-327-1152
Tioga - Philadelphia PA (USA)	CONG	2801 N 19th St Philadelphia PA  19132-2120	215-226-5900
Berks - Philadelphia PA (USA)	CONG	2801 N 19th St Philadelphia PA  19132-2120	215-228-1970
Fairmount Spanish - Philadelphia PA (USA)	CONG	2801 N 19th St Philadelphia PA  19132-2120	215-226-3695
Germantown - Philadelphia PA (USA)	CONG	419 E Locust Ave Philadelphia PA  19144-1323	215-843-4492
West Germantown - Philadelphia PA (USA)	CONG	419 E Locust Ave Philadelphia PA  19144-1323	215-843-4492
Andorra - Philadelphia PA (USA)	CONG	419 E Locust Ave Philadelphia PA  19144-1323	215-843-4492
Wister - Philadelphia PA (USA)	CONG	1835 W Ruscomb St Philadelphia PA  19141-1000	1-856-554-2702
Fern Rock - Philadelphia PA (USA)	CONG	1835 W Ruscomb St Philadelphia PA  19141-1000	609-876-4975
Haitian Creole - Philadelphia PA (USA)	CONG	1835 W Ruscomb St Philadelphia PA  19141-1000	267-908-5265
West Belfield - Philadelphia PA (USA)	CONG	5004 N Gratz St Philadelphia PA  19141-1013	215-264-4369
West Erie - Philadelphia PA (USA)	CONG	5004 N Gratz St Philadelphia PA  19141-1013	267-971-0993
Tacony Creek Park - Philadelphia PA (USA)	CONG	5004 N Gratz St Philadelphia PA  19141-1013	267-847-4478
Mount Airy - Philadelphia PA (USA)	CONG	6826-40 Ardleigh St Philadelphia PA  19119	(267) 331-8106
West Mount Airy - Philadelphia PA (USA)	CONG	6826-40 Ardleigh St Philadelphia PA  19119	267-949-7723
Ivy Hill - Philadelphia PA (USA)	CONG	6826-40 Ardleigh St Philadelphia PA  19119	267-225-6821
Sign Language - Philadelphia PA (USA)	CONG	6826-40 Ardleigh St Philadelphia PA  19119	215-843-0435
Chinese - Philadelphia PA (USA)	CONG	6826-40 Ardleigh St Philadelphia PA  19119	(267) 714-8873
Melrose - Melrose Park PA (USA)	CONG	6826-40 Ardleigh St Philadelphia PA  19119	267-888-7459
Tamaqua - PA (USA)	CONG	714 Golf Rd Tamaqua PA  18252-5554	570-386-4063
Hunting Park Spanish - Philadelphia PA (USA)	CONG	521-23 W Loudon St Philadelphia PA  19120	215-324-8229
Lehigh Spanish - Philadelphia PA (USA)	CONG	521-23 W Loudon St Philadelphia PA  19120	215-324-8229
Lawncrest Spanish - Philadelphia PA (USA)	CONG	521-23 W Loudon St Philadelphia PA  19120	215-892-6511
Oreland - PA (USA)	CONG	432 Oreland Mill Rd Oreland PA  19075-2026	215-572-9553
Mount Pleasant - Philadelphia PA (USA)	CONG	432 Oreland Mill Rd Oreland PA  19075-2026	215-572-6870
Hindi - Philadelphia PA (USA)	CONG	432 Oreland Mill Rd Oreland PA  19075-2026	2679631259
Aramingo - Philadelphia PA (USA)	CONG	4450 Oakland St Philadelphia PA  19124-3133	2679085092
Portuguese - Philadelphia PA (USA)	CONG	4450 Oakland St Philadelphia PA  19124-3133	(267) 564-5994
Pennypack Park - Philadelphia PA (USA)	CONG	4450 Oakland St Philadelphia PA  19124-3133	484-324-8810
North English - Philadelphia PA (USA)	CONG	4450 Oakland St Philadelphia PA  19124-3133	215-995-1880
Roosevelt - Philadelphia PA (USA)	CONG	4450 Oakland St Philadelphia PA  19124-3133	215-743-2506
Wissinoming - Philadelphia PA (USA)	CONG	4450 Oakland St Philadelphia PA  19124-3133	215-743-2506
East Mayfair - Philadelphia PA (USA)	CONG	4450 Oakland St Philadelphia PA  19124-3133	484-324-8810
Frankford Spanish - Philadelphia PA (USA)	CONG	4450 Oakland St Philadelphia PA  19124-3133	856-442-9701
Juniata Park Spanish - Philadelphia PA (USA)	CONG	4450 Oakland St Philadelphia PA  19124-3133	215-457-4692
English - Hazleton PA (USA)	CONG	380 E Arthur Gardner Pkwy Hazleton PA  18201-7361	5702337918
East Spanish - Hazleton PA (USA)	CONG	380 E Arthur Gardner Pkwy Hazleton PA  18201-7361	570-599-9288
West Spanish - Hazleton PA (USA)	CONG	380 E Arthur Gardner Pkwy Hazleton PA  18201-7361	(570) 582-5012
Emmaus - PA (USA)	CONG	4571 Indian Creek Rd Macungie PA  18062-9766	610-967-4655
Macungie - PA (USA)	CONG	4571 Indian Creek Rd Macungie PA  18062-9766	484-891-1038
Lansdale - PA (USA)	CONG	1037 Spur Rd Souderton PA  18964-1043	267-450-9568
Souderton - PA (USA)	CONG	1037 Spur Rd Souderton PA  18964-1043	267-551-0321
Willow Grove - PA (USA)	CONG	618 Norristown Rd Horsham PA  19044-1104	215-542-1790
Horsham - PA (USA)	CONG	618 Norristown Rd Horsham PA  19044-1104	(215) 542-7856
Korean - Horsham - PA (USA)	GROUP	618 Norristown Rd Horsham PA  19044-1104	(215) 542-7856
Orefield - PA (USA)	CONG	4733 Shankweiler Rd Orefield PA  18069	610-395-0554
Cedar Crest - Allentown PA (USA)	CONG	4733 Shankweiler Rd Orefield PA  18069	610-395-0554
Muhlenburg - PA (USA)	CONG	32 Sweet Valley Rd Hunlock Creek PA  18621-3035	5702563577
